Player,ano,GPos40,cp1,altura,peso,40yd
Miles Boykin,2019,g3,9.94332995350087,193.04,99.79024,4.42
Dexter Williams,2019,g3,16.5265674120102,180.34,96.161504,4.57
Adarius Bowman,2008,g3,9.23498756775896,190.5,101.151016,4.74
Christian Thompson,2012,g3,16.3544794162549,182.88,95.707912,4.42
Anthony Brown,2016,g3,25.3308712269832,180.34,87.089664,4.33
Robert Brannon,2000,g1,-29.2358220231287,193.04,140.159928,5.19
Ryon Bingham,2004,g1,-25.9822276921328,190.5,137.438376,5.09
"James Wilder, Jr.",2014,g3,5.27305085102114,190.5,105.233344,4.65
Chijioke Onyenegecha,2006,g3,13.9813154667562,185.42,97.52228,4.55
D.J. Reed,2018,g3,28.3163383629858,175.26,85.275296,4.51
Donnie Avery,2008,g3,25.3308712269832,180.34,87.089664,4.43
Curt McGill,2002,g1,-20.2594302124004,190.5,131.54168,5.07
Mark Anderson,2006,g2,-5.02398653195312,193.04,115.212368,4.62
Malcolm Sheppard,2010,g1,-17.4460510721531,187.96,129.27372,5.11
Larry English,2009,g2,-4.2395953496937,187.96,115.66596,4.74
Mike Humpal,2008,g2,0.602771748541425,187.96,110.676448,4.82
Jordan White,2012,g3,17.6751249885008,182.88,94.347136,4.63
Franklin Dunbar,2008,g1,-37.7719986431084,195.58,148.324584,5.58
Josh Boyce,2013,g3,19.1678585565021,180.34,93.439952,4.38
Bug Howard,2017,g3,9.50311476275222,193.04,100.243832,4.58
Travis Lewis,2012,g2,0.334644553548169,185.42,111.583632,4.83
Stephen Anderson,2016,g2,6.76578441902247,187.96,104.32616,4.59
Tarell Basham,2017,g2,-11.6272143931828,193.04,122.016248,4.7
James White,2014,g3,21.2728953110075,175.26,92.532768,4.57
Joejuan Williams,2019,g3,13.9052666702387,193.04,95.707912,4.64
Chris Clemons,2009,g3,17.6751249885008,182.88,94.347136,4.33
Trevor Reilly,2014,g2,-1.67435300171934,195.58,111.13004,4.67
Lawrence Story,2002,g3,15.9342546282265,195.58,92.98636,4.63
Mitch King,2009,g1,-14.6326719319058,185.42,127.00576,4.81
Marcus Freeman,2009,g2,3.41615088878869,185.42,108.408488,4.51
LaDainian Tomlinson,2001,g3,13.1769338817765,177.8,100.243832,4.46
Jeff Owens,2010,g1,-25.1978365098733,185.42,137.891968,4.97
Andre O'Neal,2000,g2,5.17701165178327,185.42,106.59412,4.72
Trevor Insley,2000,g3,24.7185680404791,182.88,87.089664,4.7
Willie Beavers,2016,g1,-35.1307074986165,195.58,145.603032,5.28
Tony Fisher,2002,g3,9.1389483685211,185.42,102.511792,4.66
Chaun Thompson,2003,g2,2.36363251153601,187.96,108.86208,4.58
Brian Westbrook,2002,g3,23.6460592605061,172.72,90.7184,4.57
Dameon Pierce,2022,g3,14.4975794540224,177.8,98.883056,4.59
Mike McGlynn,2008,g1,-30.116252404626,193.04,141.067112,5.38
Markus Kuhn,2012,g1,-25.4459733021463,195.58,135.624008,4.87
D.J. Harper,2013,g3,18.191388975767,175.26,95.707912,4.52
George Pickens,2022,g3,21.5610129087211,190.5,88.45044,4.47
Ikem Ekwonu,2022,g1,-29.6760372138773,193.04,140.61352,4.93
Gosder Cherilus,2008,g1,-32.66150434988,198.12,142.427888,5.14
Trey Williams,2015,g3,26.4594384007534,170.18,88.45044,4.49
C.J. Ah You,2007,g2,-13.8282903469261,193.04,124.284208,4.7
Jonathan Newsome,2014,g2,-1.33017701020856,190.5,112.037224,4.73
Auden Tate,2018,g3,5.80930524100764,195.58,103.418976,4.68
Phillip Thomas,2013,g3,17.6751249885008,182.88,94.347136,4.65
Mike Jones,2007,g1,-29.8481252096328,195.58,140.159928,5.46
Alex Barnes,2019,g3,9.75125155502514,182.88,102.511792,4.59
Ryan Winterswyk,2011,g2,-11.1869992024342,193.04,121.562656,4.96
Jason Allen,2006,g3,16.6226066112481,185.42,94.800728,4.39
Derek Landri,2007,g1,-18.7666966443991,187.96,130.634496,4.96
Paul Arnold,2003,g3,14.8617458482535,185.42,96.615096,4.53
James Lee,2003,g1,-37.1596954566043,193.04,148.324584,4.98
Ian Campbell,2009,g2,-9.86635363018824,193.04,120.20188,4.99
A.J. Terrell,2020,g3,22.7856192817292,185.42,88.45044,4.42
Devery Henderson,2004,g3,22.6895800824913,180.34,89.811216,4.41
Matthew Thomas,2018,g2,5.27305085102114,190.5,105.233344,4.58
Bryant Johnson,2003,g3,13.8092274710008,187.96,97.068688,4.57
Cole Pemberton,2010,g1,-33.7140227271327,200.66,142.88148,5.37
Justin Pugh,2013,g1,-28.3553916416314,193.04,139.252744,5.12
Chris Hackett,2015,g3,23.3979224682332,182.88,88.45044,4.81
Dorian Johnson,2017,g1,-25.8861884928949,195.58,136.0776,5.27
Jared Odrick,2010,g1,-27.6470492558895,195.58,137.891968,5.03
Nick Leckey,2004,g1,-20.2594302124004,190.5,131.54168,5.26
Jewel Hampton,2012,g3,15.1098826405264,175.26,98.883056,4.56
Nolan Carroll,2010,g3,20.0482889379994,180.34,92.532768,4.42
LeGarrette Blount,2010,g3,3.14802369379545,182.88,109.315672,4.7
Doug Jolley,2002,g2,-3.70334095970718,193.04,113.851592,4.6
D.J. Cooper,2000,g1,-14.536632732668,190.5,125.644984,5.22
Coryell Judie,2012,g3,23.8381376589818,182.88,87.996848,4.45
Brian Allen,2017,g3,12.7567090937481,190.5,97.52228,4.48
Braylon Sanders,2022,g3,23.8381376589818,182.88,87.996848,4.48
Bryan Cox Jr.,2017,g2,-9.25405044368421,190.5,120.20188,4.89
Chad Nkang,2007,g3,13.0048458860211,180.34,99.79024,4.52
Jonathan Cooper,2013,g1,-28.8916460316179,187.96,141.067112,5.07
Lance Moore,2005,g3,33.158705461221,175.26,80.285784,4.52
Deatrich Wise Jr.,2017,g2,-14.4405935334301,195.58,124.284208,4.92
Chester Taylor,2002,g3,16.0863522212616,180.34,96.615096,4.58
Billy Baber,2001,g2,-5.46420172270177,193.04,115.66596,4.76
Maurice Jones,2004,g2,-0.986001018697773,185.42,112.944408,4.71
De'Vondre Campbell,2016,g2,4.6607476645171,193.04,105.233344,4.58
Rian Wallace,2005,g2,1.92341732078737,187.96,109.315672,4.73
Jamaal Williams,2017,g3,15.9142642255062,182.88,96.161504,4.59
Essang Bassey,2020,g3,26.9956927907399,175.26,86.636072,4.46
Duke Ihenacho,2012,g3,15.4740490347576,182.88,96.615096,4.67
Tre Flowers,2018,g3,19.3599369549778,190.5,90.7184,4.45
Rashan Gary,2019,g2,-15.148935919172,193.04,125.644984,4.58
Mike Jackson,2019,g3,16.1823914204995,185.42,95.25432,4.45
Geoff Hangartner,2005,g1,-26.3264036836436,195.58,136.531192,5.21
Michael Lewis,2002,g3,15.7421762297508,185.42,95.707912,4.6
Byron Maxwell,2011,g3,20.3164161329927,182.88,91.625584,4.43
Nick Deluca,2018,g2,-3.09103777320314,190.5,113.851592,4.85
Bobby Sippio,2002,g3,13.1969242844968,190.5,97.068688,4.69
T.J. Duckett,2002,g3,-2.57477378593696,182.88,115.212368,4.45
