Player,ano,GPos3CONE,cp1,altura,peso,3Cone
Ross Pierschbacher,2019,g10,-28.3553916416314,193.04,139.252744,7.83
Levar Fisher,2002,g11,6.05744203328057,185.42,105.686936,7.3
Duane Coleman,2007,g12,23.4739712647507,175.26,90.264808,7.18
Dorian O'daniel,2018,g11,10.459593940767,185.42,101.151016,6.64
Corey Brown,2014,g12,31.4938838974642,180.34,80.739376,7.16
Devon Kennard,2014,g11,-2.21060739170585,190.5,112.944408,7.25
Tyreo Harrison,2002,g11,3.24406289303329,187.96,107.954896,7.24
Ian Johnson,2009,g11,16.5265674120102,180.34,96.161504,6.93
Tyson Alualu,2010,g11,-21.8482029796396,187.96,133.80964,7.15
Marcus McCauley,2007,g12,19.26389775574,185.42,92.079176,6.61
Kevin Norwood,2014,g12,20.8526705229792,187.96,89.811216,6.68
Michael Egnew,2012,g11,-4.75585933695987,195.58,114.305184,7.03
Dion Sims,2013,g11,-9.15801124444635,195.58,118.841104,7.36
Kellen Davis,2008,g11,-9.77031443095038,198.12,118.841104,7.25
Jaye Howard,2012,g10,-25.1017973106355,190.5,136.531192,7.32
Conor Boffeli,2014,g10,-24.3934549248936,193.04,135.170416,7.44
D.J. Moore,2018,g12,16.7946946070035,182.88,95.25432,6.95
Troy Apke,2018,g12,20.8526705229792,187.96,89.811216,6.56
Damian Lavergne,2003,g10,-41.0255929741043,198.12,151.046136,8.44
Albert McClellan,2010,g11,-0.105570637200479,185.42,112.037224,7.24
Ifeadi Odenigbo,2017,g11,-6.17254410844367,190.5,117.026736,7.26
Eddie Vanderdoes,2017,g10,-26.8626580736301,190.5,138.34556,7.69
John Wetzel,2013,g10,-33.7140227271327,200.66,142.88148,7.9
Marcus Knight,2000,g12,29.3888471429589,185.42,81.64656,7.11
Sean McHugh,2004,g11,-10.0384416259436,195.58,119.748288,7.36
Jordan Gross,2003,g10,-25.2738853063909,193.04,136.0776,7.69
Darcel McBath,2009,g12,22.0772768959873,182.88,89.811216,6.8
Josh Boyce,2013,g12,19.1678585565021,180.34,93.439952,6.68
Tyrone Calico,2003,g12,8.62268438125492,193.04,101.151016,6.73
Ramon Foster,2009,g10,-38.212213833857,195.58,148.778176,7.96
Mark Herzlich,2011,g11,-0.621834624466652,193.04,110.676448,7.32
Zach Strief,2006,g10,-40.9295537748664,203.2,149.68536,8.01
Jeremy Langford,2015,g11,17.6751249885008,182.88,94.347136,7.22
Gabe Marks,2017,g12,26.6515167992291,180.34,85.728888,7.01
Bobbie Williams,2000,g10,-39.3607714103476,193.04,150.592544,7.78
Avery Moss,2017,g11,-8.81383525293556,190.5,119.748288,7.25
Anthony Dixon,2010,g11,6.05744203328057,185.42,105.686936,7.09
Leroy Hill,2005,g11,7.81830279627516,185.42,103.872568,7.23
Javon Green,2001,g12,15.7421762297508,185.42,95.707912,7.41
