Player,ano,GPosBJ,cp1,altura,peso,Broad Jump
Joey Haynos,2008,g8,-9.67427523171252,203.2,117.480328,312.42
Andre Maddox,2005,g7,18.3834673742427,185.42,92.98636,322.58
Darryl Blackstock,2005,g8,-1.33017701020856,190.5,112.037224,320.04
Jordan Gross,2003,g9,-25.2738853063909,193.04,136.0776,284.48
Jamie Collins,2013,g8,-2.6508225824545,190.5,113.398,353.06
Lauvale Sape,2003,g9,-22.7286333611369,187.96,134.716824,281.94
Willie Pile,2003,g7,17.33094899699,187.96,93.439952,317.5
Daniel Kilgore,2011,g9,-28.183303645876,190.5,139.706336,266.7
Erik Ezukanma,2022,g7,16.0103034247441,187.96,94.800728,320.04
Jon Cornish,2007,g8,19.1678585565021,180.34,93.439952,299.72
Cedric Griffin,2006,g7,21.6370617052386,182.88,90.264808,317.5
Ryan Moore,2007,g7,12.4885818987549,187.96,98.429464,279.4
Troy Kropog,2009,g9,-29.8481252096328,195.58,140.159928,254
John Crockett,2015,g8,13.713188271763,182.88,98.429464,317.5
Dan Bazuin,2007,g8,-9.69426563443285,190.5,120.655472,276.86
Treston DeCoud,2017,g7,17.33094899699,187.96,93.439952,294.64
Jordan Fuller,2020,g7,18.6515945692359,187.96,92.079176,309.88
Owamagbe Odighizuwa,2015,g8,-10.1344808251815,190.5,121.109064,322.58
Keyuo Craver,2002,g7,21.3689345102454,180.34,91.171992,312.42
D.J. Harper,2013,g8,18.191388975767,175.26,95.707912,304.8
Isaiah Johnson,2019,g7,16.4505186154927,187.96,94.347136,337.82
Gabriel Davis,2020,g7,12.9287970895035,187.96,97.975872,314.96
Dexter McCluster,2010,g7,35.3597814149642,175.26,78.017824,299.72
De'Vante Harris,2016,g7,32.3743142789615,180.34,79.832192,314.96
Cooper Carlisle,2000,g9,-24.565542920649,195.58,134.716824,254
Geoff Hangartner,2005,g9,-26.3264036836436,195.58,136.531192,261.62
Jarvion Franklin,2018,g8,4.64075726179677,180.34,108.408488,276.86
Maurice Purify,2008,g7,8.79477237701032,190.5,101.604608,297.18
Ryan Connelly,2019,g7,1.48320213003872,187.96,109.769264,299.72
Chad Jones,2010,g7,10.7277211357603,187.96,100.243832,292.1
Pete Lougheed,2003,g9,-25.8861884928949,195.58,136.0776,236.22
Dwayne Wright,2007,g8,9.48312436003189,180.34,103.418976,292.1
Rodney Smith,2013,g7,7.74225399975763,193.04,102.0582,304.8
Jordan Todman,2011,g8,21.7131105017561,175.26,92.079176,320.04
Kion Wilson,2010,g8,4.02845407529273,182.88,108.408488,312.42
Scooby Wright III,2016,g8,4.02845407529273,182.88,108.408488,287.02
Dennis Rogan,2010,g7,29.6369839352318,175.26,83.91452,299.72
Braxton Miller,2016,g7,20.1443281372373,185.42,91.171992,312.42
Tony Washington,2015,g8,-1.94248019671259,193.04,112.037224,279.4
Salesi Uhatafe,2018,g9,-30.2883404003814,195.58,140.61352,276.86
Sealver Siliga,2011,g9,-26.250354887126,187.96,138.34556,254
Mike McGlinchey,2018,g9,-31.6850347691449,203.2,140.159928,266.7
Aaron Walker,2003,g8,-5.36816252346391,198.12,114.305184,292.1
Audie Cole,2012,g8,-1.50226500596395,193.04,111.583632,289.56
Nate Williams,2011,g7,16.3544794162549,182.88,95.707912,289.56
Ivory McCoy,2002,g8,1.13902613852794,193.04,108.86208,287.02
T.J. Moe,2013,g7,20.0482889379994,180.34,92.532768,304.8
Andy Vincent,2000,g9,-27.9151764508828,193.04,138.799152,274.32
