Player,ano,GPosBench,cp1,altura,peso,Bench
Christian McCaffrey,2017,g6,20.9287193194967,180.34,91.625584,10
Rahim Moore,2011,g6,20.3164161329927,182.88,91.625584,11
Bishop Sankey,2014,g6,19.0718193572643,175.26,94.800728,26
Andrew Tiller,2012,g4,-35.8390498843584,193.04,146.963808,16
D.J. Williams,2011,g5,0.162556557792777,187.96,111.13004,20
Jackson Barton,2019,g4,-31.5129467733895,200.66,140.61352,25
Jeremiah Ledbetter,2017,g4,-15.8572783049139,190.5,127.00576,29
Brian Rolle,2011,g5,9.65521235578728,177.8,103.872568,28
Ejuan Price,2017,g5,3.76032688029949,180.34,109.315672,20
Tim Brown,2005,g4,-33.1977587398665,193.04,144.242256,23
Kendrick Bourne,2017,g6,19.26389775574,185.42,92.079176,9
David Sharpe,2017,g4,-45.4277448815908,198.12,155.582056,19
Khalid Abdullah,2003,g5,8.08642999126841,187.96,102.965384,26
Joe Williams,2017,g6,17.4069977935075,180.34,95.25432,14
Fred Russell,2004,g6,26.4594384007534,170.18,88.45044,21
Roberto Garza,2001,g4,-25.3699245056287,187.96,137.438376,37
Devante Davis,2015,g6,10.5556331400049,190.5,99.79024,16
Davis Tull,2015,g5,-0.27765863295587,187.96,111.583632,26
Rashean Mathis,2003,g6,19.7041129464886,185.42,91.625584,22
Brett Roy,2012,g4,-13.6562023511707,190.5,124.7378,32
Darrick Vaughn,2000,g6,23.5700104639886,180.34,88.904032,14
Tony Pape,2004,g4,-36.6234410666178,198.12,146.510216,26
Zach Ertz,2013,g5,-3.43521376471393,195.58,112.944408,24
Quintin Echols,2007,g4,-35.7630010878409,185.42,148.778176,25
Fozzy Whittaker,2012,g6,26.1152624092426,175.26,87.543256,20
Tyler Brayton,2003,g5,-16.3735422921801,198.12,125.644984,25
Chad Muma,2022,g5,2.19154451578061,190.5,108.408488,27
Jack Mewhort,2014,g4,-30.4604283961368,198.12,140.159928,28
Derrick Burgess,2001,g5,-8.20153206643152,187.96,119.748288,24
Quinton Reese,2000,g5,-17.7902270636639,193.04,128.366536,18
Solomon Bates,2003,g5,1.65529012579411,185.42,110.222856,19
Asante Samuel,2003,g6,28.4123775622237,180.34,83.91452,9
Brad McDougald,2013,g6,14.5936186532603,182.88,97.52228,19
Miles Austin,2006,g6,13.3690122802522,187.96,97.52228,21
Jake Scott,2004,g4,-17.5220998686706,195.58,127.459352,24
Yusuf Corker,2022,g6,19.876200942244,182.88,92.079176,23
Beau Sandland,2016,g5,-4.58377134120448,193.04,114.758776,23
Tank Carder,2012,g5,4.12449327453059,187.96,107.047712,19
Kendell Beckwith,2017,g5,1.04298693929007,187.96,110.222856,20
Stanley Williams,2017,g6,28.6605143544966,170.18,86.18248,18
Terry McLaurin,2019,g6,17.6751249885008,182.88,94.347136,18
Jabari Holloway,2001,g5,-3.3591649681964,187.96,114.758776,20
Sean Harlow,2017,g4,-26.5945308786368,193.04,137.438376,26
Chris Neild,2011,g4,-32.4133675576071,187.96,144.695848,30
Jerald Hawkins,2016,g4,-28.6995676331422,198.12,138.34556,23
Anthony Weaver,2002,g4,-22.9007213568922,190.5,134.263232,24
Kevin Hughes,2011,g4,-26.1543156878882,193.04,136.984784,22
Ronnie McGill,2007,g6,16.0863522212616,180.34,96.615096,22
Demetress Bell,2008,g4,-27.2068340651409,195.58,137.438376,9
Jacoby Shepherd,2000,g6,22.7856192817292,185.42,88.45044,5
Jonathan Williams,2016,g6,13.0048458860211,180.34,99.79024,16
Brian Price,2010,g4,-24.7576213191247,185.42,137.438376,34
Azeem Victor,2018,g5,2.97593569804005,185.42,108.86208,19
Daniel Te'o-Nesheim,2010,g5,-8.37362006218691,190.5,119.294696,29
Sony Michel,2018,g6,15.6461370305129,180.34,97.068688,22
Blace Brown,2019,g6,23.8381376589818,182.88,87.996848,14
Deandre Houston-Carson,2016,g6,20.1443281372373,185.42,91.171992,13
Robert Ayers,2009,g5,-12.3355567789247,190.5,123.377024,18
Adrian Tracy,2010,g5,-1.7703922009572,190.5,112.490816,20
Randy Starks,2004,g4,-30.8245947903679,190.5,142.427888,27
Cheta Ozougwu,2011,g5,-0.717873823704517,187.96,112.037224,26
Marlin Jackson,2005,g6,21.4649737094832,185.42,89.811216,23
Sean Richardson,2012,g6,12.9287970895035,187.96,97.975872,22
Steve Hutchinson,2001,g4,-32.4894163541246,195.58,142.88148,31
Anthony Schlegel,2006,g5,-0.813913022942375,182.88,113.398,21
Josh Norman,2012,g6,22.5174920867359,182.88,89.357624,14
Barry Richardson,2008,g4,-35.9150986808759,200.66,145.14944,24
Toby Weathersby,2018,g4,-32.7575435491179,193.04,143.788664,28
Tyler Johnstone,2016,g4,-26.3264036836436,195.58,136.531192,24
Eric Ghiaciuc,2005,g4,-26.1543156878882,193.04,136.984784,30
Trent Murphy,2014,g5,-3.87542895546258,195.58,113.398,19
Rocky Bernard,2002,g4,-22.0202909753949,190.5,133.356048,30
