Player,Pos,School,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,ano
Jerricho Cotchery,WR,North Carolina State,6-0,212,4.54,36,,121,6.93,3.91,2004
Regis Crawford,OG,Arizona State,6-2,316,6.05,,,,8.03,4.86,2004
Duron Croson,RB,Fort Valley State,6-1,226,4.83,30.5,14,108,,,2004
Kentrell Curry,S,Georgia,6-1,201,4.6,34.5,17,127,,,2004
Lane Danielson,WR,Iowa State,6-0,197,4.6,31,,117,6.72,3.94,2004
Karlos Dansby,OLB,Auburn,6-3,251,4.58,,,,,,2004
Trey Darilek,OG,Texas-El Paso,6-4,301,5.23,28.5,22,110,7.85,4.61,2004
Devard Darling,WR,Washington State,6-1,213,4.52,37,,129,,,2004
Josh Davis,RB,Nebraska,5-10,200,4.54,33.5,13,112,7.27,4.07,2004
Rod Davis,ILB,Southern Miss,6-2,239,4.76,,,114,7.2,4.02,2004
Curtis DeLoatch,CB,North Carolina A&T,6-2,214,4.5,35.5,10,120,6.97,4.42,2004
Mondre Dickerson,DT,Tennessee,6-4,316,5.12,27,29,106,8.34,,2004
Daryl Dixon,S,Florida,5-10,195,4.77,35.5,15,118,,,2004
Darnell Dockett,DT,Florida State,6-3,297,5,31,26,105,,,2004
Nat Dorsey,OT,Georgia Tech,6-7,322,5.46,28.5,26,102,8.3,4.84,2004
Khiawatha Downey,OG,Indiana (PA),6-4,332,5.5,26.5,21,98,8.01,4.82,2004
Vontez Duff,CB,Notre Dame,5-11,203,4.53,35,13,120,6.94,4.03,2004
Jeff Dugan,TE,Maryland,6-4,263,5,28,21,109,7.4,4.32,2004
Glenn Earl,S,Notre Dame,6-1,222,4.65,,20,,,,2004
Adimchinobi Echemandu,RB,California,5-11,226,4.58,,15,,,,2004
Dwan Edwards,DT,Oregon State,6-3,313,5.12,28,25,105,7.59,4.68,2004
Deandre' Eiland,S,South Carolina,5-11,202,4.53,35,17,113,7.19,4.27,2004
Kevin Emanuel,DE,Florida State,6-4,251,4.84,31,21,108,7.86,4.49,2004
Tim Euhus,TE,Oregon State,6-5,260,4.93,34.5,25,115,6.99,4.13,2004
Lee Evans,WR,Wisconsin,5-11,197,4.39,34.5,,120,,,2004
Brandon Everage,S,Oklahoma,6-0,194,4.55,,,,,,2004
Clarence Farmer,RB,Arizona,6-0,231,4.68,34.5,25,120,7.44,4.25,2004
Jason Fife,QB,Oregon,6-4,226,4.83,30.5,,113,7.28,4.18,2004
Larry Fitzgerald,WR,Pittsburgh,6-3,225,4.48,,,,,,2004
Troy Fleming,FB,Tennessee,6-0,230,4.62,32,,120,6.94,3.91,2004
