Player,Pos,School,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,ano
Donte Jackson,CB,LSU,5-11,175,4.32,,7,124,,,2018
J.C. Jackson,CB,Maryland,5-11,193,4.46,35.5,14,120,,,2018
Josh Jackson,CB,Iowa,6-1,192,4.56,38,18,123,6.86,4.03,2018
Justin Jackson,RB,Northwestern,6-0,199,4.52,38.5,13,122,6.81,4.07,2018
Lamar Jackson,QB,Louisville,6-2,216,,,,,,,2018
Leon Jacobs,EDGE,Wisconsin,6-3,246,4.48,34.5,26,122,7.14,4.44,2018
Natrell Jamerson,S,Wisconsin,6-0,198,4.4,35.5,25,120,,,2018
Derwin James,S,Florida State,6-3,215,4.47,40,21,132,,,2018
Richie James,WR,Middle Tennessee State,5-10,183,4.48,35.5,6,122,6.87,4.16,2018
Malik Jefferson,OLB,Texas,6-3,236,4.52,36,27,125,,,2018
Josey Jewell,ILB,Iowa,6-1,234,4.82,33,18,117,6.8,4.27,2018
Danny Johnson,CB,Southern,5-10,185,4.44,35,15,123,,,2018
Kerryon Johnson,RB,Auburn,5-11,213,,40,11,126,7.07,4.29,2018
Taron Johnson,CB,Weber State,6-0,180,4.5,33,17,118,7.03,4.28,2018
Chris Jones,CB,Nebraska,6-0,195,4.57,,14,,,,2018
Jamarco Jones,OT,Ohio State,6-4,299,5.5,24,,102,8.32,4.99,2018
Justin Jones,DT,North Carolina State,6-2,309,5.09,29,24,104,7.82,4.74,2018
Ronald Jones,RB,USC,5-11,205,4.65,36.5,,,,,2018
Sam Jones,OG,Arizona State,6-5,305,5.32,27,28,101,7.92,4.86,2018
Jaryd Jones-Smith,OT,Pittsburgh,6-6,317,5.22,27,16,109,8.1,4.94,2018
Michael Joseph,CB,Dubuque,6-1,181,,34,17,,6.89,4.2,2018
Peter Kalambayi,EDGE,Stanford,6-3,252,4.57,34,19,121,7.13,4.36,2018
Joshua Kalu,S,Nebraska,6-1,195,4.58,41.5,17,134,,,2018
John Kelly,RB,Tennessee,5-10,216,,35,15,120,7.13,4.51,2018
Kameron Kelly,S,San Diego State,6-2,200,4.66,33,9,120,6.94,4.28,2018
Arden Key,EDGE,LSU,6-6,238,,31,,117,7.16,4.25,2018
Jamarcus King,CB,South Carolina,6-1,186,4.7,,,,,,2018
Christian Kirk,WR,Texas A&M,5-10,201,4.47,35.5,20,115,7.09,4.45,2018
Micah Kiser,ILB,Virginia,6-2,238,4.66,35.5,,121,7.05,4.24,2018
Chris Lacy,WR,Oklahoma State,6-3,205,4.51,33.5,11,120,,,2018
Harold Landry,EDGE,Boston Col.,6-3,252,4.64,36,24,119,6.88,4.19,2018
Jordan Lasley,WR,UCLA,6-1,203,4.5,34.5,8,112,,4.19,2018
Kyle Lauletta,QB,Richmond,6-3,222,4.81,31,,113,6.95,4.07,2018
Allen Lazard,WR,Iowa State,6-5,227,4.55,38,17,122,,,2018
Tanner Lee,QB,Nebraska,6-4,218,4.98,32,,115,7,4.41,2018
Darius Leonard,OLB,South Carolina State,6-2,234,4.7,,17,,,,2018
Rick Leonard,OT,Florida State,6-7,311,,,19,,,,2018
Tyquan Lewis,EDGE,Ohio State,6-3,265,,35.5,,122,,,2018
Chase Litton,QB,Marshall,6-5,230,4.9,29.5,,106,7.49,4.53,2018
James Looney,DE,California,6-3,287,4.89,35.5,28,113,7.32,4.37,2018
Lowell Lotulelei,DT,Utah,6-2,315,,,28,,,,2018
Avonte Maddox,CB,Pittsburgh,5-9,180,4.39,37,13,125,6.51,4,2018
Cole Madison,OL,Washington State,6-5,308,5.33,28.5,26,97,7.86,4.88,2018
K.J. Malone,OG,LSU,6-4,303,5.34,29.5,15,103,,,2018
Tavares Martin,WR,Washington State,6-1,177,4.8,31.5,,,,,2018
Hercules Mata'afa,EDGE,Washington State,6-1,254,4.76,31.5,26,108,7.24,4.37,2018
Baker Mayfield,QB,Oklahoma,6-1,215,4.84,29,,111,7,4.28,2018
Ray-ray McCloud,WR,Clemson,5-9,190,4.53,34.5,13,113,,,2018
Mike McCray,ILB,Michigan,6-4,243,4.76,31.5,16,119,7.09,4.25,2018
Kc McDermott,OG,Miami (FL),6-6,311,5.35,23.5,26,97,7.72,4.82,2018
Tarvarus McFadden,CB,Florida State,6-2,198,4.67,38.5,,121,,,2018
Mike McGlinchey,OT,Notre Dame,6-8,309,,28.5,24,105,,,2018
R.J. McIntosh,DT,Miami (FL),6-4,286,,,,,,,2018
Kahlil McKenzie,DT,Tennessee,6-5,314,5.15,29.5,26,105,7.94,4.68,2018
Quenton Meeks,DB,Stanford,6-2,205,,39,11,128,6.72,4.23,2018
Sony Michel,RB,Georgia,5-11,214,4.54,,22,,,4.21,2018
Anthony Miller,WR,Memphis,5-11,201,,,22,,,,2018
Kolton Miller,OT,UCLA,6-9,309,4.95,31.5,24,121,7.34,4.49,2018
Steven Mitchell,WR,USC,5-10,189,4.56,32.5,13,121,6.75,4.4,2018
Jmon Moore,WR,Missouri,6-3,207,4.6,38,21,120,6.56,4.04,2018
D.J. Moore,WR,Maryland,6-0,210,4.42,39.5,15,132,6.95,4.07,2018
Kamrin Moore,CB,Boston Col.,5-11,200,,,,,,,2018
Skai Moore,OLB,South Carolina,6-2,226,4.73,36,,117,,,2018
Ryan Nall,RB,Oregon State,6-2,232,4.58,33,15,122,6.95,4.16,2018
Siran Neal,S,Jacksonville State,6-0,199,4.56,40.5,17,122,7,4.28,2018
Nick Nelson,CB,Wisconsin,5-11,208,4.52,,17,123,,,2018
Quenton Nelson,OG,Notre Dame,6-5,325,,26.5,35,105,7.65,4.62,2018
Bilal Nichols,DT,Delaware,6-4,306,4.95,,29,,,,2018
Parry Nickerson,CB,Tulane,6-0,180,4.32,,15,,,,2018
Derrick Nnadi,DT,Florida State,6-1,317,5.38,27,25,96,8.15,5.02,2018
Kendrick Norton,DT,Miami (FL),6-3,314,5.25,,30,,,,2018
Joseph Noteboom,OT,TCU,6-5,309,4.96,24,27,102,7.65,4.44,2018
Uchenna Nwosu,EDGE,USC,6-3,251,4.65,32,20,119,,,2018
Dorian O'daniel,OLB,Clemson,6-1,223,4.61,32,21,119,6.64,4.07,2018
Brian O'neill,OT,Pittsburgh,6-7,297,4.82,29.5,22,107,7.14,4.5,2018
Chukwuma Okorafor,OT,West. Michigan,6-6,320,5.31,23.5,19,102,7.87,4.8,2018
Ogbonnia Okoronkwo,EDGE,Oklahoma,6-1,253,4.77,38,27,121,,,2018
Isaiah Oliver,CB,Colorado,6-1,190,4.5,,,,,,2018
Brandon Parker,OT,North Carolina A&T,6-8,305,5.4,28.5,,113,7.82,4.68,2018
Timon Parris,OT,Stony Brook,6-6,312,,,27,,,,2018
Daron Payne,DT,Alabama,6-2,311,4.95,28.5,27,107,7.58,4.71,2018
Rashaad Penny,RB,San Diego State,5-11,220,4.46,32.5,13,120,,,2018
Kamryn Pettway,RB,Auburn,6-0,233,4.74,33.5,22,116,,,2018
Skyler Phillips,OG,Idaho State,6-3,318,5.1,29,,104,7.95,4.69,2018
Cam Phillips,WR,Virginia Tech,6-0,201,,,,,,,2018
Darius Phillips,CB,West. Michigan,5-10,190,4.54,,,,,,2018
Harrison Phillips,DT,Stanford,6-4,307,5.21,32,42,103,7.28,4.5,2018
Eddy Pineiro,K,Florida,6-0,185,,,,,,,2018
Billy Price,C,Ohio State,6-4,305,,,,,,,2018
Byron Pringle,WR,Kansas State,6-1,203,4.46,33.5,15,120,6.87,4.4,2018
Jacob Pugh,OLB,Florida State,6-4,246,4.65,38.5,,122,,,2018
Scott Quessenberry,C,UCLA,6-4,310,5.09,33.5,25,111,7.5,4.69,2018
Trey Quinn,WR,SMU,5-11,203,4.55,33.5,17,116,6.91,4.19,2018
Frank Ragnow,C,Arkansas,6-5,312,,,26,,,,2018
Martinas Rankin,OL,Mississippi State,6-4,308,,,24,,,,2018
Max Redfield,S,Indiana (PA),6-1,205,4.69,,15,,,,2018
D.J. Reed,CB,Kansas State,5-9,188,4.51,36.5,11,,,,2018
Justin Reid,S,Stanford,6-1,204,4.4,36.5,16,128,6.65,4.15,2018
Demario Richard,RB,Arizona State,5-9,218,4.7,29.5,12,115,,,2018
Will Richardson,OT,North Carolina State,6-6,306,5.26,31.5,,108,7.8,4.83,2018
Calvin Ridley,WR,Alabama,6-0,189,4.43,31,15,110,6.88,4.41,2018
Stephen Roberts,S,Auburn,5-11,189,4.53,34,,121,,,2018
Korey Robertson,WR,Southern Miss,6-1,212,4.56,34,13,123,,,2018
Javon Rolland-Jones,EDGE,Arkansas State,6-2,253,4.88,,23,,,,2018
Josh Rosen,QB,UCLA,6-4,226,4.92,31,,111,7.09,4.28,2018
Olubunmi Rotimi,DE,Old Dominion,6-4,273,,32,21,113,7.46,4.7,2018
Mason Rudolph,QB,Oklahoma State,6-5,235,4.9,26,,,,,2018
Christian Sam,ILB,Arizona State,6-2,244,4.75,32,28,114,7.03,4.25,2018
Jaylen Samuels,TE,North Carolina State,5-11,225,4.54,34.5,18,121,6.93,4.28,2018
Dominick Sanders,S,Georgia,6-0,193,,,14,,,,2018
Tegray Scales,ILB,Indiana,6-0,230,4.77,,27,,,,2018
Bo Scarbrough,RB,Alabama,6-1,228,4.52,40,14,129,,4.34,2018
Dalton Schultz,TE,Stanford,6-5,244,4.75,32,15,120,7,4.4,2018
Jaleel Scott,WR,New Mexico State,6-5,218,4.56,34.5,16,124,7.2,4.4,2018
Jk Scott,P,Alabama,6-6,208,4.83,30.5,,114,7.28,4.41,2018
Deadrin Senat,DT,South Florida,6-0,314,5.16,26,35,100,7.77,4.79,2018
Greg Senat,OT,Wagner,6-6,302,5.38,26,19,106,7.41,4.71,2018
Tim Settle,DT,Virginia Tech,6-3,329,5.37,23.5,,96,7.95,4.83,2018
Coleman Shelton,C,Washington,6-3,292,5.24,26.5,,110,7.62,4.59,2018
Nathan Shepherd,DT,Fort Hays State,6-5,315,5.09,31,,112,7.5,4.53,2018
Nic Shimonek,QB,Texas Tech,6-3,220,4.88,28.5,,101,7.28,4.32,2018
Trequan Smith,WR,Central Florida,6-2,203,4.49,37.5,12,130,6.97,4.5,2018
Andre Smith,ILB,North Carolina,6-0,237,4.63,,19,,,,2018
Braden Smith,OG,Auburn,6-6,315,5.22,33.5,35,113,,4.77,2018
Roquan Smith,OLB,Georgia,6-1,236,4.51,,,,,,2018
Van Smith,S,Clemson,5-11,185,4.61,29.5,,,,,2018
Durham Smythe,TE,Notre Dame,6-5,253,4.81,31,18,110,7.17,4.23,2018
Breeland Speaks,DT,Mississippi,6-3,283,4.87,32.5,,110,7.63,4.65,2018
Taylor Stallworth,DT,South Carolina,6-2,312,5.28,23.5,18,101,7.95,4.75,2018
M.J. Stewart,CB,North Carolina,5-11,200,4.54,35,18,118,6.9,4.28,2018
Kentavius Street,DE,North Carolina State,6-2,280,4.87,,28,,,,2018
Greg Stroman,CB,Virginia Tech,6-0,180,4.48,33.5,16,113,,4.45,2018
Chandon Sullivan,CB,Georgia State,5-11,195,4.6,40.5,15,134,,4.36,2018
Courtland Sutton,WR,SMU,6-3,218,4.54,35.5,18,124,6.57,4.11,2018
Josh Sweat,EDGE,Florida State,6-4,251,4.53,39.5,,124,,4.28,2018
Auden Tate,WR,Florida State,6-5,228,4.68,31,,112,,,2018
Rod Taylor,OT,Mississippi,6-3,320,5.24,30.5,,99,,,2018
Wyatt Teller,OG,Virginia Tech,6-4,314,5.24,29,30,114,7.45,4.84,2018
Jordan Thomas,CB,Oklahoma,6-0,186,4.64,38,4,124,6.28,3.94,2018
Chad Thomas,DE,Miami (FL),6-6,281,4.92,29,,116,,,2018
Ian Thomas,TE,Indiana,6-4,259,4.74,36,,123,7.15,4.2,2018
Jordan Thomas,TE,Mississippi State,6-5,265,4.74,27,16,111,7.5,4.75,2018
Matthew Thomas,OLB,Florida State,6-3,232,4.58,41.5,,131,6.85,4.28,2018
Roc Thomas,RB,Jacksonville State,5-10,198,4.56,35.5,16,125,,,2018
Trenton Thompson,DT,Georgia,6-4,288,5.06,32.5,,111,7.68,4.56,2018
Henre Toliver,CB,Arkansas,6-1,185,4.63,32.5,6,117,7.01,4.15,2018
Kevin Toliver,CB,LSU,6-3,204,,33,10,120,,,2018
Brett Toth,OT,Army,6-6,291,,,,,,,2018
Johnny Townsend,P,Florida,6-1,210,,,,,,,2018
Shane Tripucka,P,Texas A&M,6-3,211,,,,,,,2018
Salesi Uhatafe,OG,Utah,6-5,310,5.4,28,,109,7.7,4.9,2018
Marquez Valdes-Scantling,WR,South Florida,6-4,206,4.37,30.5,15,124,,,2018
Vita Vea,DT,Washington,6-4,347,5.1,,41,,,,2018
Azeem Victor,ILB,Washington,6-1,240,4.72,32.5,19,115,7.2,4.4,2018
Dmontre Wade,CB,Murray State,6-0,200,4.57,35.5,15,120,,4.4,2018
Akrum Wadley,RB,Iowa,5-10,194,4.54,32,12,,,,2018
Trey Walker,S,Louisiana-Lafayette,6-2,200,4.51,33,14,119,7,4.28,2018
Levi Wallace,CB,Alabama,6-0,183,4.63,33,,,,,2018
Mark Walton,RB,Miami (FL),5-10,202,4.6,31.5,18,118,,,2018
Denzel Ward,CB,Ohio State,5-10,183,4.32,39,16,136,,,2018
Fred Warner,OLB,BYU,6-3,236,4.64,38.5,21,119,6.9,4.28,2018
Chris Warren,RB,Texas,6-2,247,4.69,33,25,121,6.98,4.18,2018
James Washington,WR,Oklahoma State,5-11,213,4.54,34.5,14,120,7.11,4.32,2018
Armani Watts,S,Texas A&M,5-11,205,,35,13,120,7.25,4.37,2018
Jester Weah,WR,Pittsburgh,6-2,211,4.43,38,15,129,7.24,4.41,2018
Toby Weathersby,OT,LSU,6-4,317,5.34,24.5,28,106,8.55,5.38,2018
Damon Webb,S,Ohio State,5-11,195,4.62,,17,,,,2018
David Wells,TE,San Diego State,6-6,256,4.75,33,20,116,7.5,4.59,2018
Sean Welsh,C,Iowa,6-3,306,5.43,25,20,103,7.9,4.81,2018
Karaun White,WR,West Virginia,6-1,206,4.52,33.5,24,118,7.16,4.57,2018
Kyzir White,S,West Virginia,6-2,216,,35.5,21,113,,,2018
Mike White,QB,Western Kentucky,6-5,224,5.09,27,,96,7.4,4.4,2018
Jordan Whitehead,S,Pittsburgh,5-11,195,,,21,,,,2018
Jojo Wicker,DE,Arizona State,6-3,296,5.16,30,25,105,,,2018
Jake Wieneke,WR,South Dakota State,6-4,221,4.67,34,9,114,7.24,4.37,2018
Jordan Wilkins,RB,Mississippi,6-1,216,,36,16,117,,4.27,2018
Connor Williams,OT,Texas,6-5,296,5.05,34,26,112,7.83,4.63,2018
Darrel Williams,RB,LSU,6-0,225,4.72,32,22,109,,4.21,2018
Eddy Wilson,DT,Purdue,6-4,301,5.37,,26,96,,,2018
Cedrick Wilson,WR,Boise State,6-2,197,4.55,37,9,121,6.89,4.23,2018
Jeff Wilson,RB,North Texas,5-11,210,,,15,,,,2018
Javon Wims,WR,Georgia,6-3,215,4.53,33.5,,113,7,,2018
Anthony Winbush,EDGE,Ball State,6-1,249,,,25,110,,,2018
Ryan Winslow,P,Pittsburgh,6-5,217,,,,,,,2018
Logan Woodside,QB,Toledo,6-1,213,4.79,31.5,,103,6.94,4.15,2018
Chris Worley,ILB,Ohio State,6-2,238,4.86,29.5,15,,,,2018
Isaiah Wynn,OG,Georgia,6-3,313,,,,,,,2018
Isaac Yiadom,CB,Boston Col.,6-1,190,4.52,,8,120,,4.18,2018
Kenny Young,ILB,UCLA,6-1,236,4.6,36,23,117,7.38,4.48,2018
Trevon Young,EDGE,Louisville,6-4,258,4.78,33,25,114,6.99,4.4,2018
Johnathan Abram,S,Mississippi State,5-11,205,4.45,,,116,,,2019
Paul Adams,OT,Missouri,6-6,317,5.18,27,16,103,7.68,4.74,2019
Nasir Adderley,S,Delaware,6-0,206,,,,,,,2019
Azeez Al-Shaair,LB,Florida Atlantic,6-1,234,,,16,,,,2019
Otaro Alaka,LB,Texas A&M,6-3,239,4.82,36,20,131,,,2019
Dakota Allen,LB,Texas Tech,6-1,232,4.77,31.5,23,116,6.88,4.04,2019
Josh Allen,EDGE,Kentucky,6-5,262,4.63,,28,118,7.15,4.23,2019
Zach Allen,DL,Boston Col.,6-4,281,5,32,24,112,7.34,4.36,2019
Bryson Allen-Williams,LB,South Carolina,6-1,236,4.88,,14,,7.4,,2019
Jeff Allison,LB,Fresno State,5-11,228,4.82,31,12,115,7.2,4.45,2019
Ugo Amadi,S,Oregon,5-9,199,4.51,32.5,18,115,7.21,4.19,2019
Rodney Anderson,RB,Oklahoma,6-0,224,,,25,,,,2019
J.J. Arcega-Whiteside,WR,Stanford,6-2,225,,,,,,,2019
Ryquell Armstead,RB,Temple,5-11,220,4.45,30,22,114,7.02,4.29,2019
Blessuan Austin,CB,Rutgers,6-1,198,,,15,,,,2019
Jake Bailey,P,Stanford,6-1,200,4.72,33,,117,,,2019
Zack Bailey,OL,South Carolina,6-5,299,,28,24,103,,,2019
Derrick Baity,CB,Kentucky,6-2,197,,38.5,10,127,7.06,4.31,2019
Deandre Baker,CB,Georgia,5-11,193,4.52,,14,118,,,2019
Corey Ballentine,CB,Washburn,5-11,196,4.47,39.5,15,135,6.82,4.14,2019
Ben Banogu,EDGE,TCU,6-3,250,4.62,40,23,134,7.02,4.27,2019
Alex Barnes,RB,Kansas State,6-0,226,4.59,38.5,34,126,6.95,4.1,2019
Alex Bars,OL,Notre Dame,6-6,312,,,,,,,2019
Cody Barton,LB,Utah,6-2,237,4.64,32.5,30,116,6.9,4.03,2019
Jackson Barton,OT,Utah,6-7,310,5.18,27,25,109,7.85,4.66,2019
Ryan Bates,OL,Penn State,6-4,306,5.09,27,28,102,7.45,4.53,2019
John Battle,S,LSU,6-0,201,4.67,29.5,,120,7.09,4.33,2019
Terry Beckner,DL,Missouri,6-4,296,5.19,24.5,28,98,7.97,4.82,2019
Mike Bell,S,Fresno State,6-3,210,4.83,30,10,118,7.1,4.46,2019
Beau Benzschawel,OL,Wisconsin,6-6,309,5.24,,20,,,,2019
Marquise Blair,S,Utah,6-1,195,4.48,35,,125,,,2019
Kendall Blanton,TE,Missouri,6-6,262,4.95,31,22,113,7.37,4.42,2019
Nick Bosa,DL,Ohio State,6-4,266,4.79,33.5,29,116,7.1,4.14,2019
Kris Boyd,CB,Texas,5-11,201,4.45,36.5,19,127,6.94,4.08,2019
Miles Boykin,WR,Notre Dame,6-4,220,4.42,43.5,12,140,6.77,4.07,2019
Garrett Bradbury,OL,North Carolina State,6-3,306,4.92,31,34,104,7.41,4.53,2019
Tyre Brady,WR,Marshall,6-3,211,,32,12,117,,4.25,2019
Jordan Brailford,EDGE,Oklahoma State,6-3,252,4.65,37.5,22,126,,,2019
Nick Brossette,RB,LSU,5-11,209,4.72,35.5,15,118,7.38,4.44,2019
Jordan Brown,CB,South Dakota State,6-0,201,4.51,39.5,13,128,,,2019
A.J. Brown,WR,Mississippi,6-0,226,4.49,36.5,19,120,,,2019
Blace Brown,CB,Troy,6-0,194,4.75,,14,126,7.33,4.22,2019
Keenen Brown,TE,Texas State,6-2,250,4.75,33,17,117,7.27,4.51,2019
Marquise Brown,WR,Oklahoma,5-9,166,,,,,,,2019
Jake Browning,QB,Washington,6-2,211,4.74,29,,112,7.19,4.44,2019
Austin Bryant,EDGE,Clemson,6-4,271,,,,,,,2019
Isaiah Buggs,DL,Alabama,6-3,306,5.15,24.5,20,96,8.01,4.83,2019
Sean Bunting,CB,Central Michigan,6-0,195,4.42,41.5,14,126,,,2019
Brian Burns,EDGE,Florida State,6-5,249,4.53,36,,129,7.01,,2019
Ben Burr-Kirven,LB,Washington,6-0,230,4.56,34.5,21,121,6.85,4.09,2019
Devin Bush,LB,Michigan,5-11,234,4.43,40.5,21,124,6.93,4.23,2019
Emmanuel Butler,WR,Northern Arizona,6-3,217,,36,11,115,,4.22,2019
Hakeem Butler,WR,Iowa State,6-5,227,4.48,36,18,128,,,2019
Yodny Cajuste,OT,West Virginia,6-5,312,,,32,,,,2019
Deion Calhoun,OL,Mississippi State,6-2,310,5.07,28.5,26,105,7.46,4.62,2019
Parris Campbell,WR,Ohio State,6-0,205,4.31,40,11,135,,4.03,2019
Malik Carney,EDGE,North Carolina,6-2,251,4.73,33,25,113,7.4,,2019
Blake Cashman,LB,Minnesota,6-1,237,4.5,37.5,18,124,6.95,4.12,2019
Hamp Cheevers,CB,Boston Col.,5-9,169,4.52,39,8,122,6.96,4.25,2019
Demarcus Christmas,DL,Florida State,6-3,294,5.08,25.5,22,101,8.13,5.07,2019
L.J. Collier,DL,TCU,6-2,283,4.91,30,25,118,7.71,4.78,2019
John Cominsky,DL,Charleston,6-5,286,4.69,33.5,22,116,7.03,4.38,2019
Te'von Coney,LB,Notre Dame,6-1,234,,,,,,,2019
Ryan Connelly,LB,Wisconsin,6-2,242,4.66,34.5,,118,7.09,4.31,2019
C.J. Conrad,TE,Kentucky,6-4,249,,,,,,,2019
Byron Cowart,DL,Maryland,6-3,298,5.16,30,26,111,,,2019
Jonathan Crawford,S,Indiana,6-1,205,,31.5,16,115,,,2019
Xavier Crawford,CB,Central Michigan,5-11,187,4.48,37.5,11,,,,2019
Maxx Crosby,DL,East. Michigan,6-5,255,4.66,36,,122,6.89,4.13,2019
Jamal Custis,WR,Syracuse,6-4,214,4.5,34.5,,124,,,2019
Dennis Daley,OT,South Carolina,6-5,317,5.23,26.5,20,103,7.95,4.92,2019
Davante Davis,CB,Texas,6-2,202,4.57,37,14,125,6.76,4.15,2019
Deshaun Davis,LB,Auburn,5-11,234,,31,25,111,,4.38,2019
Felton Davis,WR,Michigan State,6-3,211,,,21,,,,2019
Jamal Davis,EDGE,Akron,6-3,243,4.6,39,19,122,7,4.44,2019
Nate Davis,OL,Charlotte,6-3,316,5.23,26,23,107,7.94,4.83,2019
Ryan Davis,WR,Auburn,5-10,189,,35,12,124,7.09,4.23,2019
Jamel Dean,CB,Auburn,6-1,206,4.3,41,16,130,7.02,4.19,2019
Michael Deiter,OL,Wisconsin,6-5,309,5.23,28,21,105,7.88,4.81,2019
Lukas Denis,S,Boston Col.,5-11,190,4.64,33.5,16,116,6.89,4.09,2019
Andre Dillard,OT,Washington State,6-5,315,4.96,29,24,118,7.44,4.4,2019
D'Cota Dixon,S,Wisconsin,5-10,204,4.81,33.5,20,119,,,2019
Johnnie Dixon,WR,Ohio State,5-10,201,4.41,37.5,16,120,,4.43,2019
Tyrel Dodson,LB,Texas A&M,6-0,237,4.6,,24,118,,,2019
Greg Dortch,WR,Wake Forest,5-7,173,,,,,,,2019
Keelan Doss,WR,UC Davis,6-2,211,,,8,,,,2019
Ashton Dulin,WR,Malone University (Ohio),6-1,215,4.43,38,13,121,7,4.22,2019
Jovon Durante,WR,Florida Atlantic,5-11,160,4.55,31.5,,120,7,4.31,2019
Chuma Edoga,OT,USC,6-3,308,5.19,,21,,,,2019
David Edwards,OT,Wisconsin,6-6,308,5.28,25.5,,99,7.69,4.77,2019
Mike Edwards,S,Kentucky,5-10,205,,,,,,,2019
T.J. Edwards,LB,Wisconsin,6-0,230,,,16,,,,2019
Emeke Egbule,LB,Houston,6-2,245,4.65,33,20,119,7.38,4.38,2019
Bobby Evans,OT,Oklahoma,6-4,312,5.2,,22,,,,2019
Noah Fant,TE,Iowa,6-4,249,4.5,39.5,20,127,6.81,4.22,2019
Rashad Fenton,CB,South Carolina,5-11,193,4.52,34,12,117,,4.25,2019
Jazz Ferguson,WR,Northwestern St. (LA),6-5,227,4.45,37,8,123,7.25,4.59,2019
Clelin Ferrell,EDGE,Clemson,6-4,264,,,25,,7.26,4.4,2019
Mark Fields,CB,Clemson,5-10,192,4.37,,18,,,,2019
Ryan Finley,QB,North Carolina State,6-4,213,4.73,30.5,,116,7.2,4.2,2019
Nick Fitzgerald,QB,Mississippi State,6-5,226,4.64,29.5,,115,,,2019
Cody Ford,OT,Oklahoma,6-4,329,5.21,28.5,19,104,8.27,4.87,2019
Jack Fox,P,Rice,6-2,213,4.73,27.5,,114,,,2019
Hjalte Froholdt,OL,Arkansas,6-5,306,5.2,27.5,31,105,7.51,4.54,2019
Travis Fulgham,WR,Old Dominion,6-2,215,4.58,36.5,15,126,,,2019
Lamont Gaillard,OL,Georgia,6-3,305,,,,,,,2019
Greg Gaines,DL,Washington,6-1,312,5.16,31,30,109,,,2019
Malik Gant,S,Marshall,6-0,209,4.63,34.5,17,114,7.45,4.3,2019
Chauncey Gardner-Johnson,S,Florida,5-11,210,4.48,36,17,117,7.03,4.2,2019
Rashan Gary,DL,Michigan,6-4,277,4.58,38,26,120,7.26,4.29,2019
Myles Gaskin,RB,Washington,5-9,205,4.58,35.5,24,118,7.19,4.27,2019
Matt Gay,K,Utah,6-0,232,,,,,,,2019
Zach Gentry,TE,Michigan,6-8,265,4.9,29.5,12,110,7.4,4.53,2019
Joe Giles-Harris,LB,Duke,6-2,234,4.75,29.5,17,111,,,2019
Andrew Van ginkel,LB,Wisconsin,6-3,241,,38,17,123,6.89,4.14,2019
Kevin Givens,DL,Penn State,6-1,285,5.08,31,32,115,7.63,4.62,2019
Dan Godsil,LS,Indiana,6-4,241,5,34.5,16,118,7.56,4.55,2019
Terry Godwin,WR,Georgia,5-11,184,4.55,36.5,,117,6.96,,2019
Carl Granderson,EDGE,Wyoming,6-5,254,4.79,35,,119,7.44,4.41,2019
Derwin Gray,OT,Maryland,6-4,320,5.26,,26,90,,,2019
Gerri Green,EDGE,Mississippi State,6-4,252,4.63,35,24,114,7.27,4.42,2019
Donnell Greene,OT,Minnesota,6-5,335,,,,,,,2019
Ethan Greenidge,OL,Villanova,6-4,327,,,,,,,2019
Dre Greenlaw,LB,Arkansas,5-11,237,,33,24,117,,,2019
Will Grier,QB,West Virginia,6-2,217,4.84,34,,112,7.09,4.28,2019
Porter Gustin,EDGE,USC,6-4,255,4.69,35.5,31,119,,,2019
Emanuel Hall,WR,Missouri,6-2,201,4.39,43.5,15,141,,,2019
Nate Hall,LB,Northwestern,6-2,225,,,,,,,2019
Terez Hall,LB,Missouri,6-1,230,,,20,,,,2019
Saquan Hampton,S,Rutgers,6-1,206,4.48,,14,125,,,2019
Terrill Hanks,LB,New Mexico State,6-2,242,4.98,35.5,21,118,,,2019
Chase Hansen,LB,Utah,6-3,222,,,,,,,2019
Mecole Hardman,WR,Georgia,5-10,187,4.33,36.5,17,119,,,2019
Kelvin Harmon,WR,North Carolina State,6-2,221,4.6,32.5,18,117,7.15,4.32,2019
Damien Harris,RB,Alabama,5-10,216,4.57,37,16,121,,,2019
Will Harris,S,Boston Col.,6-1,207,4.41,36.5,20,123,6.91,4.12,2019
N'Keal Harry,WR,Arizona State,6-2,228,4.53,38.5,27,122,,,2019
Montre Hartage,CB,Northwestern,5-11,190,4.68,34.5,9,123,6.95,4.08,2019
Dwayne Haskins,QB,Ohio State,6-3,231,5.04,28.5,,,,,2019
Phil Haynes,OL,Wake Forest,6-4,322,5.2,31,33,108,7.76,4.95,2019
Daniel Helm,TE,Duke,6-4,249,4.89,,14,,,,2019
Darrell Henderson,RB,Memphis,5-8,208,4.49,33.5,22,121,,,2019
Nate Herbig,OL,Stanford,6-3,335,5.41,24,29,90,8.15,5.04,2019
Karan Higdon,RB,Michigan,5-9,206,4.49,34,21,123,,,2019
Justice Hill,RB,Oklahoma State,5-10,198,4.4,40,21,130,,,2019
Trysten Hill,DL,Central Florida,6-3,308,5.04,35,28,115,7.7,4.38,2019
T.J. Hockenson,TE,Iowa,6-5,251,4.7,37.5,17,123,7.02,4.18,2019
Alijah Holder,CB,Stanford,6-1,191,4.6,36,9,121,6.7,4.15,2019
Justin Hollins,EDGE,Oregon,6-5,248,4.5,36.5,25,119,7.06,4.4,2019
Elijah Holyfield,RB,Georgia,5-10,217,4.78,29.5,26,118,,,2019
