Player,Pos,School,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,ano,altura,peso,GPos40,GPosBench,GPosBJ,GPos3CONE,cp1
Mike Derouselle,DT,Houston,5.28,69.85,27,243.84,7.67,4.8,2000,187.96,142.427888,g1,g4,g9,g10,-30.2122916038639
Na'il Diggs,OLB,Ohio State,4.66,,,,,,2000,193.04,104.779752,g2,g5,g8,g11,5.10096285526575
Reuben Droughns,RB,Oregon,4.66,76.2,13,292.1,7.34,4.41,2000,180.34,97.52228,g3,g6,g8,g11,15.2059218397643
Ron Dugans,WR,Florida State,4.58,,,297.18,,,2000,185.42,93.439952,g3,g6,g7,g12,17.943252183494
Chris Edwards,OLB,Georgia Tech,4.65,,,,,,2000,195.58,102.511792,g2,g5,g8,g11,6.68973562250494
Mario Edwards,CB,Florida State,4.46,,,304.8,,,2000,182.88,86.636072,g3,g6,g7,g12,25.1587832312278
Shaun Ellis,DE,Tennessee,4.85,,,,,,2000,193.04,127.00576,g2,g5,g8,g11,-16.4695814914179
John Engelberger,DE,Virginia Tech,4.73,86.36,24,292.1,6.95,4.28,2000,193.04,117.93392,g2,g5,g8,g11,-7.66527767644501
Dwan Epps,ILB,Texas Southern,4.68,87.63,8,,,,2000,185.42,109.769264,g2,g5,g8,g11,2.09550531654276
Matt Farmer,WR,Air Force,4.51,83.82,,274.32,6.63,3.94,2000,182.88,86.18248,g3,g6,g7,g12,25.5989984219764
Danny Farmer,WR,UCLA,4.58,,,,,,2000,190.5,98.429464,g3,g6,g7,g12,11.8762787122508
Chafie Fields,WR,Penn State,4.43,,,,,,2000,185.42,88.904032,g3,g6,g7,g12,22.3454040909805
Aaron Fields,DE,Troy,4.76,86.36,22,292.1,7.51,4.56,2000,193.04,110.222856,g2,g5,g8,g11,-0.181619433718005
Zeron Flemister,TE,Iowa,4.72,93.98,14,294.64,6.92,4.16,2000,193.04,112.944408,g2,g5,g8,g11,-2.82291057820989
Erik Flowers,DE,Arizona State,4.75,83.82,24,289.56,7.21,4.15,2000,193.04,122.923432,g2,g5,g8,g11,-12.5076447746801
Derrick Foster,RB,Texas A&M-Kingsville,4.43,87.63,19,297.18,6.84,4.36,2000,180.34,91.171992,g3,g6,g8,g11,21.3689345102454
Larry Foster,WR,LSU,4.55,93.98,,307.34,6.88,4.06,2000,177.8,89.811216,g3,g6,g7,g12,23.3018832689953
John Frank,DE,Utah,4.78,93.98,32,297.18,7.07,4.27,2000,193.04,127.00576,g2,g5,g8,g11,-16.4695814914179
Bubba Franks,TE,Miami (FL),4.85,,,,,,2000,198.12,120.20188,g2,g5,g8,g11,-11.0909600031963
Todd Franz,S,Tulsa,4.55,,14,,,,2000,185.42,90.264808,g3,g6,g7,g12,21.0247585187346
Arturo Freeman,S,South Carolina,4.5,90.17,14,314.96,6.91,4.38,2000,182.88,85.275296,g3,g6,g7,g12,26.4794288034737
Byron Frisch,DE,BYU,4.73,87.63,31,289.56,7.2,4.41,2000,193.04,127.459352,g2,g5,g8,g11,-16.9097966821666
Trent Gamble,S,Wyoming,4.56,93.98,21,314.96,6.6,3.9,2000,175.26,84.368112,g3,g6,g7,g12,29.1967687444831
Jason Gavadza,TE,Kent State,4.62,82.55,22,287.02,7.15,4.3,2000,190.5,112.944408,g2,g5,g8,g11,-2.21060739170585
Trevor Gaylor,WR,Miami (OH),4.56,95.25,,307.34,7.03,4.29,2000,190.5,90.264808,g3,g6,g7,g12,19.8001521457265
Kabeer Gbaja-Biamila,OLB,San Diego State,4.65,86.36,21,304.8,6.9,4.28,2000,193.04,110.222856,g2,g5,g8,g11,-0.181619433718005
